tag,gen,idx,maxIter,fpsErr,gpuTimeMs,boundary,density,rank
FRONT,4,18,64,13798.1,0.07216,9814,0.164518,0
FRONT,4,19,64,14407.6,0.06912,9867,0.165441,0
FRONT,4,20,2227,411.983,2.11872,5759,0.217359,0
FRONT,4,21,870,1286.69,0.74256,7597,0.212416,0
FRONT,4,22,658,1736.49,0.55664,8139,0.209977,0
FRONT,4,23,4064,231.674,3.42848,4877,0.219184,0
FRONT,4,24,551,2040.13,0.47616,8595,0.208089,0
FRONT,4,25,430,2618.95,0.37328,9288,0.188648,0
FRONT,4,26,2918,328.609,2.57328,5657,0.183224,0
FRONT,4,27,2328,407.395,2.13952,6158,0.157654,0
FRONT,4,28,2328,389.543,2.22448,5348,0.124343,0
FRONT,4,29,992,950.509,0.9896,3606,0.0671332,0
FRONT,4,30,958,809.989,1.14944,3539,0.0663423,0
FRONT,4,31,878,1114.81,0.8512,3631,0.0657226,0
EVAL,5,0,66,13527,0.0736,3498,0.0268438,-1
EVAL,5,1,1014,928.924,1.0112,3521,0.0666872,-1
EVAL,5,2,532,1810.14,0.53472,3884,0.0617585,-1
EVAL,5,3,4080,187.741,4.03648,2994,0.0733297,-1
EVAL,5,4,64,13497.5,0.07376,3417,0.0260136,-1
EVAL,5,5,3803,205.754,3.76288,3078,0.0731281,-1
EVAL,5,6,182,5200.94,0.19008,4094,0.0474579,-1
EVAL,5,7,865,1096.98,0.86432,3570,0.0658687,-1
EVAL,5,8,993,844.879,1.10512,3547,0.0668502,-1
EVAL,5,9,369,2649.15,0.36912,3953,0.0576679,-1
EVAL,5,10,91,9892.23,0.10048,3775,0.0339928,-1
EVAL,5,11,143,6350.26,0.156,4035,0.0432735,-1
EVAL,5,12,436,2209.43,0.44064,3955,0.0603306,-1
EVAL,5,13,2328,402.723,2.16112,3250,0.0724145,-1
EVAL,5,14,2281,435.403,2.01856,3281,0.0729894,-1
EVAL,5,15,257,3723.29,0.26432,4334,0.0552792,-1
EVAL,5,16,772,1274.9,0.74912,3764,0.0685558,-1
EVAL,5,17,490,2026.81,0.4792,4008,0.0651779,-1
EVAL,5,18,4064,188.826,4.01888,3087,0.0779565,-1
EVAL,5,19,2220,408.973,2.13232,3389,0.0773793,-1
EVAL,5,20,201,4800.03,0.20576,4517,0.0558455,-1
EVAL,5,21,498,1990.52,0.48768,4149,0.0692728,-1
EVAL,5,22,67,12721.2,0.07824,4017,0.0330701,-1
